姓	名	小时工资	工作小时	工作职场	头衔	入职时间
祝	茹云	42.23	20	海淀五道口	产品经理	2005/03/10
廖	正	9.48	32	海淀五道口	系统管理	2003/06/25
薛	正	57.55	31	浦东张江	前端开发	1999/03/11
杨	昕	48.42	40	浦东张江	UI设计	2001/09/18
徐	一涵	41.93	44	南京雨花台	产品经理	2013/12/27
曹	阳	11.2	30	浦东陆家嘴	产品经理	2015/05/21
柳	建刚	6.57	42	海淀五道口	DBA	2006/02/16
徐	炜	29.82	31	浦东张江	前端开发	2006/08/18
彭	雷	57.25	44	浦东陆家嘴	UI设计	2021/10/19
华	欣	56.99	47	海淀五道口	系统管理	2017/09/12
彭	新力	49.93	21	浦东张江	DBA	1998/06/14
周	朝晖	11.94	33	南京雨花台	前端开发	2008/10/19
李	建	35.53	38	深圳南山	后台开发	2010/07/11
马	旭东	59.34	45	海淀五道口	系统管理	2020/04/24
吴	思聪	9.68	33	浦东陆家嘴	产品经理	2000/03/22
谢	军	46.19	36	浦东张江	产品经理	2009/05/26
汤	宇进	31.35	22	深圳南山	DBA	2018/05/01
王	欢	38.56	26	浦东张江	存储管理	2010/10/08
吴	昕	35.79	34	浦东陆家嘴	系统管理	2016/05/14
彭	正	7.84	48	浦东陆家嘴	系统管理	2007/12/16
谢	薇亚	48.46	34	南京雨花台	DBA	1999/05/11
祝	国贤	25.1	22	浦东张江	产品经理	2000/12/06
杜	薇亚	21.24	30	南京雨花台	UI设计	2008/02/03
牛	丹丹	31.71	31	海淀五道口	存储管理	2008/06/25
叶	一涵	47.2	42	海淀五道口	DBA	2020/05/03
杜	吉祥	29.26	47	海淀五道口	后台开发	2013/07/19
杜	华健	58.17	37	深圳南山	云平台管理	2021/03/24
彭	波	22.7	41	深圳南山	存储管理	1999/03/24
卢	飞	52.22	30	海淀五道口	UI设计	2004/05/10
朱	鑫	39.24	45	深圳南山	后台开发	2011/03/09
薛	思聪	24.48	31	南京雨花台	存储管理	2001/09/25
袁	雷	17.2	30	浦东陆家嘴	DBA	2021/06/04
陈	海峰	25.68	23	海淀五道口	后台开发	2021/10/25
高	磊	50.45	37	海淀五道口	后台开发	2017/06/20
汤	为民	51.62	44	浦东陆家嘴	后台开发	2017/01/01
马	思华	5.27	24	浦东陆家嘴	DBA	2015/04/11
孙	欢	42.27	25	深圳南山	存储管理	2002/03/09
鲁	茵	18.19	24	浦东张江	存储管理	2007/06/20
涂	思华	4.96	21	南京雨花台	系统管理	2018/06/04
鲁	娟	15.48	43	海淀五道口	产品经理	2013/05/13
杨	琦	14.33	31	海淀五道口	UI设计	1998/07/05
黄	丽亚	60.79	32	海淀五道口	UI设计	2012/10/03
江	楠	39.9	26	深圳南山	后台开发	1998/01/25
袁	楠	14.38	23	海淀五道口	DBA	2009/05/06
高	相龙	2.13	36	南京雨花台	产品经理	2004/10/01
许	薇亚	45.51	45	浦东张江	云平台管理	2008/04/27
何	欣	17.23	22	深圳南山	前端开发	2013/09/13
祝	建刚	52.74	41	南京雨花台	存储管理	2014/01/05
严	旭东	8.43	48	浦东陆家嘴	存储管理	2015/10/18
朱	彪	51.3	50	海淀五道口	产品经理	2003/12/05
涂	鑫	5.45	26	南京雨花台	存储管理	2020/11/10
钱	健林	60.31	33	海淀五道口	后台开发	1999/12/28
涂	茹云	24.6	40	南京雨花台	后台开发	2010/03/07
柳	朝晖	35.74	23	海淀五道口	系统管理	2016/06/25
严	旭	4.97	23	海淀五道口	DBA	2008/08/08
谢	海波	23.9	40	深圳南山	DBA	2017/11/04
马	强	31.15	33	浦东张江	产品经理	2007/02/15
刘	阳	18.42	49	深圳南山	前端开发	1999/07/26
曾	为民	3.38	48	南京雨花台	DBA	2013/08/23
郑	军	26.2	50	深圳南山	前端开发	2019/10/27
郑	炜	4.91	49	南京雨花台	云平台管理	2014/03/04
肖	一涵	36.65	27	海淀五道口	前端开发	2007/04/02
边	昕	22.38	33	南京雨花台	系统管理	1999/02/28
蒋	思华	4.9	28	深圳南山	前端开发	2018/06/19
严	明	23.1	43	浦东陆家嘴	产品经理	2020/07/02
严	子轩	7.48	49	深圳南山	云平台管理	2014/05/25
陈	旭东	38.68	42	浦东张江	产品经理	2018/02/27
冯	昕	50.18	28	浦东陆家嘴	产品经理	2002/07/27
祝	茉莉	15.43	32	深圳南山	系统管理	2009/10/15
陆	正	32.2	27	海淀五道口	产品经理	2018/01/06
曾	国贤	24.56	29	南京雨花台	DBA	2020/10/28
黄	昕	7.74	36	深圳南山	DBA	2010/06/25
黄	建刚	40.5	41	深圳南山	存储管理	2009/09/23
魏	宇进	30.49	31	南京雨花台	前端开发	2010/10/03
夏	相龙	44.72	21	海淀五道口	云平台管理	2004/12/02
陆	茉莉	48.78	38	浦东张江	产品经理	2018/09/08
陆	强	45.86	41	深圳南山	前端开发	2003/07/12
林	为民	38.54	47	深圳南山	DBA	2010/07/27
白	思华	38.84	28	南京雨花台	UI设计	2002/04/17
吴	华世	14.34	36	浦东张江	UI设计	2007/01/02
严	新力	23.1	47	浦东陆家嘴	存储管理	2015/06/17
王	茉莉	0.97	44	浦东陆家嘴	UI设计	2010/07/17
赵	美雅	47.73	32	南京雨花台	云平台管理	2014/08/25
高	飞	30.39	34	浦东陆家嘴	UI设计	2011/01/17
涂	娟	28.42	22	海淀五道口	云平台管理	2000/02/03
魏	楠	45.72	45	南京雨花台	UI设计	2002/08/22
彭	强	35.0	35	海淀五道口	云平台管理	2004/02/16
吴	健林	0.61	28	南京雨花台	后台开发	2008/12/18
舒	娟	40.41	41	浦东张江	UI设计	2022/09/08
柳	军	39.1	25	海淀五道口	云平台管理	2007/06/05
李	昕	6.37	30	南京雨花台	系统管理	2008/05/25
冯	华世	18.1	43	深圳南山	存储管理	2000/01/15
蒋	吉祥	25.95	28	浦东张江	系统管理	2007/01/14
陈	琦	41.8	22	海淀五道口	存储管理	2015/09/20
刘	腾	13.44	48	深圳南山	产品经理	2012/09/01
杨	欣	43.79	26	浦东张江	后台开发	2006/10/04
吴	刚	54.77	49	浦东陆家嘴	云平台管理	2022/03/02
杜	新力	49.35	25	深圳南山	产品经理	2022/07/17
邹	刚	19.16	33	深圳南山	云平台管理	2015/07/27
林	丹丹	53.22	46	浦东张江	存储管理	2008/01/18
郭	健	60.62	28	深圳南山	云平台管理	1999/05/23
舒	华世	43.88	49	海淀五道口	后台开发	2004/12/27
齐	美雅	34.61	38	浦东陆家嘴	系统管理	2011/11/18
蒋	松涛	39.67	30	海淀五道口	系统管理	2003/11/22
林	新海	8.59	32	南京雨花台	系统管理	2005/03/23
陈	炜	34.83	30	海淀五道口	UI设计	2007/05/22
邹	捷	8.29	43	浦东张江	后台开发	2009/11/26
钱	琦	58.94	33	海淀五道口	后台开发	2005/11/17
周	一涵	16.72	20	海淀五道口	前端开发	2019/07/03
朱	为民	30.27	43	浦东陆家嘴	前端开发	2022/06/03
郭	楠	6.48	35	深圳南山	前端开发	2000/06/19
边	旭	1.83	28	南京雨花台	UI设计	2011/04/08
舒	建	16.57	28	海淀五道口	产品经理	2016/06/21
林	彪	55.47	49	海淀五道口	产品经理	2009/03/01
林	茵	47.5	35	浦东陆家嘴	DBA	2022/10/17
彭	伟敏	39.2	48	海淀五道口	云平台管理	2007/05/03
夏	晨	40.8	29	深圳南山	UI设计	2010/08/20
齐	雷	0.12	37	海淀五道口	云平台管理	2016/10/26
林	军	21.76	35	浦东陆家嘴	DBA	1999/07/08
林	飞	57.93	21	浦东张江	后台开发	2022/05/23
孙	思华	42.15	37	南京雨花台	系统管理	2004/09/04
马	华世	3.86	38	海淀五道口	存储管理	2019/10/17
唐	聪	7.16	36	深圳南山	存储管理	2015/10/22
杜	子轩	12.36	27	浦东张江	系统管理	1999/09/15
魏	琴	26.72	44	南京雨花台	UI设计	2018/04/02
廖	聪	40.38	38	海淀五道口	系统管理	2009/09/27
魏	为民	46.83	25	深圳南山	系统管理	2021/09/11
鲁	飞	34.28	45	深圳南山	前端开发	2011/02/02
肖	海峰	23.52	40	浦东张江	前端开发	2014/06/22
唐	旭东	40.79	43	浦东张江	后台开发	2004/08/17
舒	健	30.36	40	浦东陆家嘴	UI设计	2005/08/05
唐	国贤	5.94	47	浦东张江	产品经理	2016/07/19
冯	茉莉	36.8	47	浦东陆家嘴	前端开发	2005/07/06
卢	健林	55.53	34	浦东张江	云平台管理	2001/02/25
鲁	炜	53.74	36	海淀五道口	存储管理	2018/12/15
岳	旭	16.45	50	海淀五道口	后台开发	2007/04/06
高	新力	24.97	35	浦东陆家嘴	云平台管理	2011/02/07
汤	建刚	18.3	27	南京雨花台	存储管理	2016/05/16
孔	健林	34.92	39	浦东陆家嘴	UI设计	2003/02/09
肖	旭	34.48	22	浦东张江	产品经理	2009/04/24
谢	鑫	28.29	28	海淀五道口	前端开发	2012/09/17
牛	海波	30.5	29	深圳南山	产品经理	2005/07/03
彭	刚	34.87	47	深圳南山	产品经理	2013/02/19
姜	聪	22.75	30	海淀五道口	前端开发	2016/06/18
唐	松涛	29.33	44	南京雨花台	DBA	2006/12/03
薛	宇进	46.29	40	深圳南山	产品经理	2013/02/07
周	正	28.75	33	海淀五道口	后台开发	2013/07/15
鲁	健林	19.92	22	深圳南山	产品经理	2015/01/15
唐	丹丹	12.82	33	海淀五道口	后台开发	2019/06/26
白	茉莉	1.23	38	浦东张江	后台开发	2020/03/26
顾	娟	25.1	37	南京雨花台	UI设计	2005/11/15
许	丽	0.58	22	深圳南山	云平台管理	2004/06/06
何	心愿	42.88	22	南京雨花台	后台开发	2015/04/10
姜	欢	53.4	33	深圳南山	系统管理	2006/05/23
周	丹丹	15.57	24	浦东陆家嘴	产品经理	1999/01/05
何	为民	5.8	27	海淀五道口	DBA	2009/04/20
舒	健林	30.9	22	浦东张江	后台开发	2012/05/04
邹	欢	10.41	28	浦东张江	UI设计	2003/02/14
邹	文杰	53.96	23	海淀五道口	存储管理	2011/04/12
孔	茵	46.32	26	深圳南山	存储管理	2015/02/02
黄	刚	46.5	42	南京雨花台	后台开发	2011/10/13
齐	茵	5.39	49	南京雨花台	系统管理	2003/05/24
唐	军	39.24	28	浦东张江	DBA	2002/06/19
华	宁	8.97	47	浦东张江	系统管理	2020/01/22
陆	东	52.99	37	浦东张江	后台开发	2008/02/17
朱	旭	30.47	32	南京雨花台	系统管理	2013/05/25
柳	健林	8.9	38	南京雨花台	存储管理	2017/01/10
李	宁	34.55	38	海淀五道口	后台开发	2007/11/27
魏	欣	18.72	29	海淀五道口	系统管理	2000/09/10
魏	波	59.13	37	浦东陆家嘴	后台开发	2006/11/18
华	旭东	6.24	46	浦东张江	后台开发	2000/05/02
郭	吉祥	41.4	48	浦东张江	后台开发	2005/09/03
严	倩	50.2	43	深圳南山	存储管理	1998/12/13
汤	彪	38.47	35	浦东张江	存储管理	2003/07/18
姜	琴	47.1	39	深圳南山	后台开发	2007/02/03
石	相龙	19.74	24	浦东张江	后台开发	2006/01/11
曹	思华	50.13	45	南京雨花台	前端开发	1999/10/15
朱	琴	26.9	43	浦东陆家嘴	UI设计	2009/03/25
鲁	丹丹	29.85	24	深圳南山	产品经理	2017/08/11
郭	思华	53.18	29	浦东张江	存储管理	1999/07/06
薛	军	56.78	30	南京雨花台	后台开发	2014/02/07
薛	华健	0.51	46	海淀五道口	DBA	2000/04/09
曹	爱国	58.47	26	海淀五道口	产品经理	2007/12/09
严	建刚	35.15	34	浦东张江	云平台管理	2005/03/25
朱	娟	30.49	30	深圳南山	后台开发	1998/04/09
廖	相龙	45.31	40	深圳南山	系统管理	2003/03/24
戴	明	11.62	23	浦东陆家嘴	UI设计	2013/04/11
曹	倩	38.0	27	南京雨花台	存储管理	2017/08/27
郑	娟	31.63	26	海淀五道口	云平台管理	2005/09/19
杜	晨	20.81	23	浦东张江	DBA	2016/12/15
陈	旭	5.76	32	南京雨花台	后台开发	2012/05/18
肖	思聪	32.88	45	浦东陆家嘴	产品经理	2012/07/12
曾	琴	52.37	32	浦东张江	产品经理	2000/05/25
祝	思华	52.15	34	南京雨花台	产品经理	2008/12/22
许	建刚	15.84	22	深圳南山	存储管理	2019/11/21
肖	捷	14.82	32	深圳南山	存储管理	2003/02/14
叶	飞	59.9	40	深圳南山	前端开发	2012/10/15
白	欢	2.25	41	深圳南山	存储管理	2013/05/18
杨	相龙	3.68	37	浦东张江	系统管理	2007/03/17
祝	波	11.46	27	浦东陆家嘴	产品经理	2012/08/22
周	华健	22.95	31	海淀五道口	UI设计	2005/04/27
柳	薇亚	38.35	26	浦东张江	前端开发	2018/07/06
冯	琦	17.56	37	浦东张江	后台开发	2020/08/20
黄	琦	28.2	33	浦东张江	前端开发	2010/09/14
白	子轩	42.98	28	浦东陆家嘴	产品经理	1999/02/16
廖	海波	45.67	48	海淀五道口	云平台管理	2009/05/07
孔	文杰	9.39	32	浦东张江	UI设计	2016/04/09
何	聪	4.7	25	海淀五道口	云平台管理	2018/01/06
竺	相龙	15.9	34	海淀五道口	云平台管理	2001/01/27
冯	宇进	23.32	45	海淀五道口	产品经理	2006/07/12
刘	朝晖	0.51	22	浦东陆家嘴	系统管理	2004/04/08
吴	国贤	35.82	27	海淀五道口	前端开发	2019/03/26
王	倩	6.54	34	浦东陆家嘴	DBA	1999/10/24
曾	旭东	30.76	30	南京雨花台	产品经理	2011/03/23
卢	一涵	48.44	46	深圳南山	存储管理	2002/09/10
华	文杰	50.74	39	浦东张江	前端开发	2019/02/17
王	聪	45.58	25	浦东张江	UI设计	2019/08/09
高	松涛	25.14	45	浦东陆家嘴	前端开发	2008/06/28
孔	吉祥	41.61	36	海淀五道口	UI设计	2021/07/19
许	倩	7.86	45	浦东陆家嘴	云平台管理	2012/10/21
白	飞	54.2	28	海淀五道口	存储管理	2008/09/17
彭	健	35.53	31	浦东陆家嘴	DBA	2002/06/23
曾	美雅	36.36	21	海淀五道口	后台开发	2019/12/22
卢	勇	39.56	21	浦东陆家嘴	UI设计	2009/09/10
孙	思聪	17.86	47	海淀五道口	前端开发	2003/04/14
曹	强	32.2	35	浦东陆家嘴	存储管理	2011/12/03
姜	捷	16.8	41	南京雨花台	DBA	2012/02/06
牛	一涵	46.46	47	浦东陆家嘴	UI设计	2005/07/06
竺	捷	22.8	35	南京雨花台	产品经理	2007/11/05
江	朝晖	42.44	21	海淀五道口	DBA	2013/05/28
钱	娟	52.62	45	海淀五道口	云平台管理	2009/01/15
魏	强	59.9	23	南京雨花台	DBA	2022/04/18
唐	伟敏	24.36	24	深圳南山	系统管理	2005/06/26
祝	文杰	42.25	28	浦东张江	后台开发	2004/12/04
姜	子轩	4.71	46	海淀五道口	云平台管理	2011/09/22
舒	刚	57.9	31	海淀五道口	云平台管理	2006/06/08
王	相龙	9.66	21	浦东张江	系统管理	2010/02/09
薛	波	53.44	20	南京雨花台	存储管理	2004/07/06
卢	茉莉	55.82	42	浦东陆家嘴	后台开发	2011/04/10
祝	朝晖	25.41	34	浦东张江	UI设计	2000/09/03
叶	子轩	25.61	24	深圳南山	DBA	2022/06/09
卢	聪	22.13	48	浦东张江	产品经理	2003/02/27
江	新力	45.32	43	浦东陆家嘴	前端开发	2011/05/19
石	健	0.19	40	深圳南山	UI设计	2006/12/05
周	彪	42.35	28	深圳南山	前端开发	2022/10/22
赵	丽亚	59.11	27	浦东张江	前端开发	2008/07/13
杜	军	28.1	33	浦东张江	产品经理	2013/12/15
冯	伟敏	53.76	47	浦东张江	UI设计	2006/02/09
陆	爱国	26.46	33	深圳南山	UI设计	2004/10/28
牛	丽亚	44.23	28	浦东张江	产品经理	2015/12/20
杨	腾	1.64	36	南京雨花台	UI设计	2002/12/08
李	炜	15.61	29	南京雨花台	系统管理	2009/03/12
张	为民	19.73	47	海淀五道口	系统管理	2001/03/07
曾	倩	49.72	20	海淀五道口	后台开发	2019/02/23
华	昕	52.3	36	海淀五道口	系统管理	2019/07/05
姜	建	18.25	31	南京雨花台	后台开发	2002/12/22
华	为民	9.49	39	浦东张江	DBA	2000/10/18
王	茵	19.33	26	海淀五道口	DBA	2010/04/07
吴	新力	47.55	33	浦东陆家嘴	系统管理	2020/01/01
郑	腾	21.37	24	海淀五道口	UI设计	2008/12/15
孙	海波	49.41	40	海淀五道口	系统管理	2000/09/11
高	薇亚	6.68	33	深圳南山	存储管理	2003/05/15
曹	丽	60.44	32	海淀五道口	前端开发	2002/04/22
何	腾	37.6	25	浦东陆家嘴	云平台管理	2021/11/28
冯	勇	28.65	41	海淀五道口	DBA	2020/05/02
祝	华世	15.27	39	浦东张江	系统管理	2010/07/05
李	旭	5.18	24	海淀五道口	后台开发	2005/03/09
戴	旭东	8.85	23	深圳南山	云平台管理	2002/07/05
曹	文杰	58.49	35	南京雨花台	产品经理	2008/11/27
江	正	8.12	37	浦东陆家嘴	存储管理	2020/06/27
齐	丽	11.22	35	南京雨花台	存储管理	2013/02/24
曾	健林	44.75	27	南京雨花台	后台开发	2012/04/12
陈	腾	37.49	27	浦东张江	存储管理	2004/11/14
卢	海波	22.88	48	南京雨花台	存储管理	2012/07/23
张	华健	42.85	28	浦东张江	云平台管理	2012/07/16
唐	一涵	10.46	34	南京雨花台	云平台管理	2002/04/12
朱	茹云	0.66	25	南京雨花台	系统管理	2009/07/25
周	雷	54.68	23	深圳南山	系统管理	2022/03/15
郭	昕	36.42	35	浦东陆家嘴	云平台管理	1998/11/28
江	为民	33.16	33	浦东张江	云平台管理	2010/04/20
齐	茹云	48.97	26	南京雨花台	云平台管理	2021/10/05
鲁	海波	29.91	20	南京雨花台	系统管理	2002/08/02
廖	健林	58.64	21	南京雨花台	系统管理	2009/01/14
何	鑫	51.74	35	浦东陆家嘴	前端开发	2005/02/07
周	丽亚	48.23	32	浦东张江	产品经理	2008/08/28
高	爱国	2.77	31	海淀五道口	存储管理	2012/07/28
杜	强	10.26	32	浦东张江	云平台管理	2015/05/09
郑	爱国	35.22	34	浦东张江	前端开发	2010/09/10
魏	思聪	31.57	46	海淀五道口	前端开发	2013/12/01
竺	茹云	19.13	40	深圳南山	产品经理	2021/01/15
戴	子轩	54.8	25	深圳南山	DBA	2003/10/19
白	健林	8.22	36	海淀五道口	系统管理	2016/02/02
冯	海波	22.58	48	浦东陆家嘴	DBA	2002/11/02
黄	一涵	7.49	33	南京雨花台	DBA	2016/07/17
严	朝晖	28.55	36	海淀五道口	DBA	2015/01/09
冯	新力	44.5	25	浦东张江	云平台管理	2000/08/03
何	思聪	12.74	27	浦东陆家嘴	前端开发	2020/12/06
曾	昕	38.3	40	南京雨花台	前端开发	1998/11/13
唐	鑫	8.1	49	浦东陆家嘴	DBA	2015/11/03
边	正	57.24	21	深圳南山	产品经理	2019/01/03
廖	茵	39.12	27	南京雨花台	系统管理	2018/02/18
郑	建刚	35.15	28	海淀五道口	DBA	1999/04/14
边	丹丹	50.9	27	海淀五道口	前端开发	2021/11/28
边	爱国	27.28	47	南京雨花台	DBA	2003/06/13
陆	宁	33.8	48	南京雨花台	前端开发	2011/03/08
薛	健	0.63	47	浦东陆家嘴	DBA	2010/04/03
郭	丽亚	13.22	41	浦东张江	后台开发	2001/04/17
徐	琦	37.45	38	海淀五道口	前端开发	2012/08/09
马	丹丹	32.79	25	深圳南山	前端开发	2021/09/19
汤	华世	5.31	35	海淀五道口	产品经理	2015/10/20
陈	一涵	42.28	48	深圳南山	云平台管理	2015/03/20
杨	阳	31.82	49	浦东陆家嘴	UI设计	2014/01/11
廖	欣	9.69	21	深圳南山	UI设计	2009/06/08
孔	晨	27.21	43	浦东陆家嘴	前端开发	2008/10/12
陆	伟敏	59.94	28	浦东陆家嘴	后台开发	2000/01/01
舒	波	45.27	24	海淀五道口	前端开发	2013/06/09
涂	刚	40.51	35	浦东陆家嘴	系统管理	2022/03/27
陈	军	17.12	26	浦东张江	存储管理	2016/08/05
卢	思华	42.6	23	浦东陆家嘴	前端开发	2003/08/02
黄	茉莉	39.87	42	浦东张江	产品经理	2001/05/08
蒋	正	33.22	47	浦东陆家嘴	前端开发	2008/11/25
涂	伟敏	47.99	34	海淀五道口	前端开发	2012/09/24
林	娟	28.95	28	南京雨花台	后台开发	2019/11/01
杨	心愿	20.86	39	浦东陆家嘴	UI设计	2012/05/22
齐	华健	1.98	25	南京雨花台	DBA	2000/09/27
彭	相龙	12.23	47	浦东张江	DBA	2019/12/09
岳	勇	31.73	35	浦东陆家嘴	云平台管理	2004/09/04
袁	建刚	20.17	48	浦东陆家嘴	DBA	2002/07/20
魏	松涛	46.4	27	浦东张江	云平台管理	2003/08/04
华	东	27.4	48	浦东张江	云平台管理	2021/09/27
何	文杰	17.14	45	浦东张江	DBA	2011/10/24
黄	健林	35.87	30	南京雨花台	UI设计	2006/03/11
祝	相龙	6.98	26	海淀五道口	前端开发	2019/08/02
陈	昕	5.53	43	南京雨花台	产品经理	2005/04/16
钱	华健	19.56	34	浦东张江	UI设计	2002/11/16
戴	健林	46.33	41	深圳南山	后台开发	2008/12/23
王	建	28.1	31	海淀五道口	DBA	2000/02/13
许	华健	9.38	23	海淀五道口	后台开发	2006/03/02
张	腾	31.55	21	浦东张江	产品经理	2020/04/22
竺	健林	11.6	44	浦东张江	系统管理	2018/01/07
祝	茵	27.42	21	浦东陆家嘴	前端开发	2009/03/16
曹	子轩	57.27	22	海淀五道口	后台开发	2016/06/12
肖	宇进	50.5	50	海淀五道口	前端开发	2012/10/22
华	楠	14.16	34	深圳南山	DBA	2010/12/07
石	朝晖	50.7	47	浦东张江	云平台管理	2010/10/14
顾	飞	50.25	36	浦东陆家嘴	存储管理	2020/10/01
齐	吉祥	57.24	48	浦东陆家嘴	后台开发	2022/11/02
谢	文杰	45.79	39	南京雨花台	后台开发	2007/09/20
孔	朝晖	5.41	45	南京雨花台	产品经理	2001/12/17
曾	薇亚	44.11	22	海淀五道口	云平台管理	2010/08/11
袁	勇	21.93	46	深圳南山	存储管理	2020/05/02
何	健林	16.6	24	浦东张江	系统管理	2000/02/11
吴	雷	50.9	37	浦东陆家嘴	后台开发	2007/05/02
杨	欢	54.91	21	南京雨花台	存储管理	2017/03/23
谢	茵	51.91	46	南京雨花台	DBA	1999/08/08
黄	旭东	37.25	44	浦东陆家嘴	前端开发	2008/03/17
汤	国贤	17.4	45	浦东张江	后台开发	2014/11/20
汤	健林	49.31	47	南京雨花台	存储管理	2001/11/01
顾	为民	34.23	20	海淀五道口	存储管理	2013/11/11
华	丽亚	21.15	36	海淀五道口	UI设计	2007/04/13
许	正	38.18	27	浦东张江	存储管理	2013/08/17
孔	华世	4.75	32	南京雨花台	产品经理	2000/05/19
徐	丹丹	30.99	46	海淀五道口	存储管理	2003/08/21
卢	腾	55.68	47	海淀五道口	前端开发	2011/04/05
石	强	13.1	33	浦东张江	云平台管理	2017/01/08
蒋	波	35.25	49	海淀五道口	云平台管理	2006/01/25
孔	腾	8.94	22	浦东张江	系统管理	2018/01/19
吴	欣	10.79	47	浦东张江	DBA	2009/10/17
朱	华健	22.4	46	深圳南山	云平台管理	2007/07/20
邹	华世	47.41	42	浦东陆家嘴	DBA	2002/07/06
边	朝晖	4.94	29	南京雨花台	系统管理	2010/11/21
汤	琴	43.52	48	浦东陆家嘴	UI设计	2016/06/06
蒋	美雅	20.92	35	深圳南山	后台开发	2008/01/15
朱	茉莉	17.6	27	海淀五道口	前端开发	2006/10/22
杨	彪	24.96	40	海淀五道口	系统管理	2017/08/12
叶	思聪	16.78	34	深圳南山	云平台管理	2001/09/09
祝	建	35.31	35	南京雨花台	系统管理	2004/06/03
鲁	楠	8.28	25	浦东陆家嘴	前端开发	2000/10/26
许	欢	35.82	49	深圳南山	系统管理	2000/04/14
华	茵	3.6	40	深圳南山	后台开发	2011/03/26
汤	炜	58.73	29	浦东陆家嘴	UI设计	2005/07/06
白	丹丹	22.5	34	海淀五道口	前端开发	2005/07/11
白	茹云	49.3	21	浦东张江	产品经理	2000/10/15
马	思聪	2.9	25	浦东张江	系统管理	2020/07/08
唐	东	17.96	35	浦东陆家嘴	系统管理	2012/07/08
徐	琴	52.35	33	浦东陆家嘴	前端开发	2018/11/08
马	波	51.18	35	南京雨花台	后台开发	2015/01/08
江	飞	48.9	32	海淀五道口	存储管理	2005/12/24
江	一涵	47.12	33	深圳南山	系统管理	2009/04/28
刘	为民	18.13	45	海淀五道口	存储管理	2000/05/08
许	飞	2.7	36	浦东张江	云平台管理	2008/01/11
何	丹丹	49.47	49	深圳南山	UI设计	2011/02/28
齐	彪	13.82	36	海淀五道口	产品经理	2008/07/01
高	茉莉	44.68	22	浦东陆家嘴	产品经理	2015/10/05
竺	建	25.14	27	深圳南山	存储管理	2018/12/01
刘	旭东	38.14	47	深圳南山	前端开发	2019/02/07
徐	健林	13.32	31	浦东张江	DBA	2013/07/09
高	旭	33.62	44	海淀五道口	产品经理	2021/04/24
邹	松涛	12.23	32	海淀五道口	存储管理	2013/12/28
周	茵	57.2	26	浦东张江	云平台管理	2011/04/10
赵	心愿	36.4	23	深圳南山	云平台管理	2000/12/07
曹	为民	21.2	29	浦东张江	云平台管理	2020/02/12
冯	磊	33.5	35	南京雨花台	后台开发	2022/08/03
邹	飞	21.36	32	南京雨花台	产品经理	2005/12/24
周	相龙	21.99	33	浦东张江	后台开发	2000/10/15
高	茵	13.12	48	海淀五道口	存储管理	2006/11/17
黄	茹云	29.19	22	南京雨花台	系统管理	2013/01/22
夏	军	51.7	38	浦东陆家嘴	UI设计	1999/08/12
林	强	49.23	23	海淀五道口	前端开发	2006/12/18
牛	勇	39.48	32	南京雨花台	系统管理	2011/09/21
叶	琴	58.47	21	浦东张江	DBA	1998/10/23
牛	国贤	29.52	43	浦东陆家嘴	UI设计	2010/08/12
钱	阳	6.65	41	海淀五道口	UI设计	2014/01/27
林	磊	55.85	42	南京雨花台	后台开发	2016/06/22
郭	朝晖	54.41	40	浦东陆家嘴	产品经理	2022/06/25
孙	琴	51.9	39	深圳南山	产品经理	2019/10/16
薛	思华	23.11	37	深圳南山	前端开发	2016/08/04
Page	Larry	1299	40	浦东张江	VP	1998/04/16
戴	鑫	46.32	32	海淀五道口	存储管理	2020/01/22
赵	爱国	37.56	45	海淀五道口	云平台管理	2011/04/09
徐	军	50.57	28	浦东张江	DBA	2021/04/06
郑	相龙	40.17	20	浦东陆家嘴	DBA	2012/04/13
李	旭东	52.89	24	南京雨花台	系统管理	2004/05/21
林	东	9.13	22	南京雨花台	系统管理	2014/07/12
王	爱国	53.21	31	浦东张江	存储管理	2015/02/16
叶	强	57.27	42	浦东陆家嘴	存储管理	2020/01/28
王	宇进	51.2	41	海淀五道口	前端开发	1998/03/11
李	聪	28.89	49	海淀五道口	云平台管理	2013/07/04
廖	雷	57.16	32	浦东陆家嘴	系统管理	2010/07/13
钱	美雅	60.36	24	深圳南山	DBA	2013/03/14
陈	思华	41.7	26	深圳南山	产品经理	2008/08/18
张	健	25.12	50	南京雨花台	前端开发	2017/01/13
郑	海波	8.55	42	海淀五道口	后台开发	2011/04/26
周	吉祥	60.54	21	南京雨花台	云平台管理	2000/09/05
涂	东	54.34	40	深圳南山	UI设计	1998/02/24
夏	正	33.5	43	深圳南山	前端开发	2019/08/22
涂	军	49.86	30	浦东陆家嘴	后台开发	2005/07/26
魏	国贤	39.43	36	南京雨花台	产品经理	2021/10/15
边	波	34.94	24	海淀五道口	前端开发	2010/01/13
谢	琴	39.91	47	浦东张江	系统管理	2007/02/03
马	聪	49.3	38	浦东陆家嘴	系统管理	2018/10/05
江	倩	59.33	34	南京雨花台	UI设计	2009/09/08
黄	茵	39.46	26	深圳南山	DBA	2008/02/21
吴	一涵	34.74	28	浦东张江	UI设计	2022/06/24
叶	健	44.3	24	浦东张江	后台开发	2012/12/22
刘	倩	48.42	22	南京雨花台	产品经理	2010/07/24
曾	宇进	37.89	20	南京雨花台	UI设计	2005/01/02
